Complaint ID,Complaint Name,Complaint Description,CheckList,RequiredQuestions,ImportantPoints,Scenario1,Scenario2,Scenario3,Scenario4,Scenario5,FAQs
vowifi- activation
vowifi- activation
vowifi- activation
 
 TAT: No timeline  
TAT: No timeline 
TAT: No timeline 
TAT: No timeline 
TAT:
TAT:
 No timeline 
 No timeline 
 ",,"Restriction of searching Cell Sites and Areas without MSISDN
Restriction of searching Cell Sites and Areas without MSISDN
Any location on Konnect will not be searched without entering MSISDN. Ensure the enter MSISDN/problematic CLI along with Cell Site/Area to search on Konnect
Any location on Konnect will not be searched without entering MSISDN. Ensure the enter MSISDN/problematic CLI along with Cell Site/Area to search on Konnect
Problematic site code field will now have a suggested site code dropdown
Problematic site code field will now have a suggested site code dropdown",,,,,,"Process at Franchise Center
Process at Retailer"
9044,Signal Complaint,"In case customer is facing Quality of Service, Signals, Network Complaints then we will follow below guidelines
LOV: As per mentioned in below table
Team: Network Complaint Team
Cellular Complaint/Coverage/No Indoor Signal (permanent issue)
Cellular Complaint/Coverage/Signals Fluctuation (intermittent issue)
Cellular Complaint/Availability/Signals Fluctuation (intermittent issue)
 ",,,,,,,,,
9052,Procedures (CFL),"All such cases where customer complaints about CC / Procedures / Other, CFL agent to apologize to customer first and note down customer concern in Medallia by guiding relevant information & where required agent will follow up if any task / SR has been processed until resolution along with guiding the exact process so that customer will understand
All such cases where customer complaints about CC / Procedures / Other, CFL agent to apologize to customer first and note down customer concern in Medallia by guiding relevant information & where required agent will follow up if any task / SR has been processed until resolution along with guiding the exact process so that customer will understand
All such cases where customer complaints about CC / Procedures / Other, CFL agent to apologize to customer first and note down customer concern in Medallia by guiding relevant information & where required agent will follow up if any task / SR has been processed until resolution along with guiding the exact process so that customer will understand","Need to check from customer if he/she can talk easily
Need to check from customer if he/she can talk easily",,,,,,,,
9058,Mobile Internet (CFL),"All such cases where customer is complaining that data incentive is in-sufficient, data bundle is costly, base rate charges, CFL agent to apologize to customer first and note down customer concern in Medallia by guiding relevant information. In case of verification that customer complaint is valid, agent will make the adjustment complaint & call customer for follow up where adjustments is required.
All such cases where customer is complaining that data incentive is in-sufficient, data bundle is costly, base rate charges, CFL agent to apologize to customer first and note down customer concern in Medallia by guiding relevant information. In case of verification that customer complaint is valid, agent will make the adjustment complaint & call customer for follow up where adjustments is required.
All such cases where customer is complaining that data incentive is in-sufficient, data bundle is costly, base rate charges, CFL agent to apologize to customer first and note down customer concern in Medallia by guiding relevant information. In case of verification that customer complaint is valid, agent will make the adjustment complaint & call customer for follow up where adjustments is required.","Need to check from customer if he/she can talk easily
Need to check from customer if he/she can talk easily",,,,,,,,
9064,"CPA, Content Services (CFL)","All such cases where customer is complaining about balance deduction CFL agent to apologize to customer first and check his/her number status and in case of any subscription we need to guide customer accordingly, if customer request to deactivate the services which were consuming balance, along with noting down customer concern in Medallia followed by deactivation of the specific subscription and inform customer via call. 
All such cases where customer is complaining about balance deduction CFL agent to apologize to customer first and check his/her number status and in case of any subscription we need to guide customer accordingly, if customer request to deactivate the services which were consuming balance, along with noting down customer concern in Medallia followed by deactivation of the specific subscription and inform customer via call. 
All such cases where customer is complaining about balance deduction CFL agent to apologize to customer first and check his/her number status and in case of any subscription we need to guide customer accordingly, if customer request to deactivate the services which were consuming balance, along with noting down customer concern in Medallia followed by deactivation of the specific subscription and inform customer via call. ","Need to check from customer if he/she can talk easily
Need to check from customer if he/she can talk easily
 ",,,,,,,,
9070,Re-pricing (CFL),"All such cases where customer is complaining about revise pricing policy and advise us to switch back to old price with respect to value of money he/she is paying, CFL agent to apologize first and note down customer concern in Medallia by guiding relevant information. 
All such cases where customer is complaining about revise pricing policy and advise us to switch back to old price with respect to value of money he/she is paying, CFL agent to apologize first and note down customer concern in Medallia by guiding relevant information. 
All such cases where customer is complaining about revise pricing policy and advise us to switch back to old price with respect to value of money he/she is paying, CFL agent to apologize first and note down customer concern in Medallia by guiding relevant information. 
 ","Need to check from customer if he/she can talk easily
Need to check from customer if he/she can talk easily",,,,,,,,
9076,Deliverability or Intelligibility (CFL),"All such cases where customer is complaining about not receiving sms notifications, receiving late, does not understand sms notification, CFL agent to apologize first and note down customer concern in Medallia by guiding relevant information
All such cases where customer is complaining about not receiving sms notifications, receiving late, does not understand sms notification, CFL agent to apologize first and note down customer concern in
All such cases where customer is complaining about not receiving sms notifications, receiving late, does not understand sms notification, CFL agent to apologize first and note down customer concern in
Medallia by guiding relevant information
Medallia by guiding relevant information","Need to check from customer if he/she can talk easily
Need to check from customer if he/she can talk easily",,,,,,,,
9082,"CVM Campaigns/Special Offers, Offer Validity (CFL)","All such cases where customer is complaining about incomplete information of promo offered, tariff plan was not according to the need and broadcasted wrong message to the customer by Jazz marketing, CFL agent apologizes first and notes down customer concern in Medallia along with asking customer to share details through whatsapp received via sms with CFL team, CFL team then sends details of the complaint received from customer to CEM team, CEM team forwards the complaint to marketing and waits for their feedback, once feedback is received it is routed back to CFL team for loop closure via call. 
All such cases where customer is complaining about incomplete information of promo offered, tariff plan was not according to the need and broadcasted wrong message to the customer by Jazz marketing, CFL agent apologizes first and notes down customer concern in Medallia along with asking customer to share details through whatsapp received via sms with CFL team, CFL team then sends details of the complaint received from customer to CEM team, CEM team forwards the complaint to marketing and waits for their feedback, once feedback is received it is routed back to CFL team for loop closure via call. 
All such cases where customer is complaining about incomplete information of promo offered, tariff plan was not according to the need and broadcasted wrong message to the customer by Jazz marketing, CFL agent apologizes first and notes down customer concern in Medallia along with asking customer to share details through whatsapp received via sms with CFL team, CFL team then sends details of the complaint received from customer to CEM team, CEM team forwards the complaint to marketing and waits for their feedback, once feedback is received it is routed back to CFL team for loop closure via call. ","Need to check from customer if he/she can talk easily
Need to check from customer if he/she can talk easily",,,,,,,,
9084,SPAM from Internal Companies (CFL),"All such cases where customer is complaining about receiving:
All such cases where customer is complaining about receiving:
All such cases where customer is complaining about receiving:
Obnoxious calls/sms CFL agent apologizes first and notes down customer concern in Medallia along with handling customer as per obnoxious caller process guidelines. 
Obnoxious calls/sms CFL agent apologizes first and notes down customer concern in Medallia along with handling customer as per obnoxious caller process guidelines. 
Obnoxious calls/sms CFL agent apologizes first and notes down customer concern in Medallia along with handling customer as per obnoxious caller process guidelines. 
Obnoxious calls/sms 
Fraudulent calls/sms (Jazz Cash realted Only)  agent apologizes first and notes down customer concern in Medallia along with making complaint in EfrontàMFSàFake Call and guide customer accordingly for closing the loop. 
Fraudulent calls/sms (Jazz Cash realted Only)  agent apologizes first and notes down customer concern in Medallia along with making complaint in EfrontàMFSàFake Call and guide customer accordingly for closing the loop. 
Fraudulent calls/sms (Jazz Cash realted Only)  agent apologizes first and notes down customer concern in Medallia along with making complaint in EfrontàMFSàFake Call and guide customer accordingly for closing the loop. 
Fraudulent calls/sms 
à
à","Need to check from customer if he/she can talk easily
Need to check from customer if he/she can talk easily
 ",,,,,,,,
9102,Utility Bill Payment Complaint Handling-DBSS,"Utility Bill payment complaints are made when customer faced some issues during UBP
Scnerio-6: 
Customer paid bill but amount deducted twice 
Customer paid bill but amount deducted twice 
Customer paid bill but amount deducted twice 
Customer paid bill but amount deducted twice 
Customer paid bill but amount deducted twice 
We will generate complaint after required probing/system consultation and checklist will be mentioned in activity notes: 
We will generate complaint after required probing/system consultation and checklist will be mentioned in activity notes: 
We will generate complaint after required probing/system consultation and checklist will be mentioned in activity notes: 
We will generate complaint after required probing/system consultation and checklist will be mentioned in activity notes: 
We will generate complaint after required probing/system consultation and checklist will be mentioned in activity notes: 
We will generate complaint after required probing/system consultation and checklist will be mentioned in activity notes: 
We will generate complaint after required probing/system consultation and checklist will be mentioned in activity notes: 
Checklist: 
Checklist: 
Checklist: 
Checklist: 
Checklist: 
Checklist
Checklist
: 
: 
Both TIDs 
Both TIDs 
Both TIDs 
Both TIDs 
Both TIDs 
Both TIDs 
Customer MSISDN 
Customer MSISDN 
Customer MSISDN 
Customer MSISDN 
Customer MSISDN 
Customer MSISDN 
Customer CNIC 
Customer CNIC 
Customer CNIC 
Customer CNIC 
Customer CNIC 
Customer CNIC 
Date of Transaction 
Date of Transaction 
Date of Transaction 
Date of Transaction 
Date of Transaction 
Date of Transaction 
Bill Reference # 
Bill Reference # 
Bill Reference # 
Bill Reference # 
Bill Reference # 
Bill Reference # 
Billing Company 
Billing Company 
Billing Company 
Billing Company 
Billing Company 
Billing Company 
We will also mention “Customer paid bill but amount deducted Twice’ in notes of Case
We will also mention “Customer paid bill but amount deducted Twice’ in notes of Case
We will also mention “Customer paid bill but amount deducted Twice’ in notes of Case
We will also mention “Customer paid bill but amount deducted Twice’ in notes of Case
We will also mention “Customer paid bill but amount deducted Twice’ in notes of Case
DFS Tab→Utility Bill Payment through OTC→Wrong Bill Data
Scnerio-7:
Customer paid bill after due date or Maturity date 
Customer paid bill after due date or Maturity date 
Customer paid bill after due date or Maturity date 
Customer paid bill after due date or Maturity date 
Customer paid bill after due date or Maturity date 
Need to guide customer to visit relevant company office. No Complaint will be locked in this scenario by helpline agent. 
Need to guide customer to visit relevant company office. No Complaint will be locked in this scenario by helpline agent. 
Need to guide customer to visit relevant company office. No Complaint will be locked in this scenario by helpline agent. 
Need to guide customer to visit relevant company office. No Complaint will be locked in this scenario by helpline agent. 
Need to guide customer to visit relevant company office. No Complaint will be locked in this scenario by helpline agent. 
Need to guide customer to visit relevant company office. No Complaint will be locked in this scenario by helpline agent. 
Need to guide customer to visit relevant company office. No Complaint will be locked in this scenario by helpline agent. 
If customer/retailer informs helpline agent that billing companies are asking for proof of utility bill payment via JazzCash, then we will generate complaint as per SOP. Backend team will send print shot on email address given by customer/retailer 
If customer/retailer informs helpline agent that billing companies are asking for proof of utility bill payment via JazzCash, then we will generate complaint as per SOP. Backend team will send print shot on email address given by customer/retailer 
If customer/retailer informs helpline agent that billing companies are asking for proof of utility bill payment via JazzCash, then we will generate complaint as per SOP. Backend team will send print shot on email address given by customer/retailer 
If customer/retailer informs helpline agent that billing companies are asking for proof of utility bill payment via JazzCash, then we will generate complaint as per SOP. Backend team will send print shot on email address given by customer/retailer 
If customer/retailer informs helpline agent that billing companies are asking for proof of utility bill payment via JazzCash, then we will generate complaint as per SOP. Backend team will send print shot on email address given by customer/retailer 
Scnerio-8:
Bill is not updated in UBP menu 
Bill is not updated in UBP menu 
Bill is not updated in UBP menu 
Bill is not updated in UBP menu 
Bill is not updated in UBP menu 
We will generate complaint after required probing along with mentioning “Bill is not updated in UBP menu” in notes of case.  
We will generate complaint after required probing along with mentioning “Bill is not updated in UBP menu” in notes of case.  
We will generate complaint after required probing along with mentioning “Bill is not updated in UBP menu” in notes of case.  
We will generate complaint after required probing along with mentioning “Bill is not updated in UBP menu” in notes of case.  
We will generate complaint after required probing along with mentioning “Bill is not updated in UBP menu” in notes of case.  
DFS Tab→Utility Bill Payment through OTC→Wrong Bill Data
Scnerio-9:
No record found in UBP Menu for bill reference number 
No record found in UBP Menu for bill reference number 
No record found in UBP Menu for bill reference number 
No record found in UBP Menu for bill reference number 
No record found in UBP Menu for bill reference number 
We will generate complaint after required probing along with mentioning 
We will generate complaint after required probing along with mentioning 
We will generate complaint after required probing along with mentioning 
We will generate complaint after required probing along with mentioning 
We will generate complaint after required probing along with mentioning 
We will generate complaint after required probing along with mentioning 
We will generate complaint after required probing along with mentioning 
“No record found in UBP Menu for bill reference number” in notes of case
“No record found in UBP Menu for bill reference number” in notes of case
“No record found in UBP Menu for bill reference number” in notes of case
“No record found in UBP Menu for bill reference number” in notes of case
“No record found in UBP Menu for bill reference number” in notes of case
 
DFS Tab→Utility Bill Payment through OTC→Wrong Bill Data
Scnerio-10:
Retailer paid bill against wrong reference number by Freudian slip 
Retailer paid bill against wrong reference number by Freudian slip 
Retailer paid bill against wrong reference number by Freudian slip 
Retailer paid bill against wrong reference number by Freudian slip 
Retailer paid bill against wrong reference number by Freudian slip 
No Complaint will be locked in this scenario by helpline agent 
No Complaint will be locked in this scenario by helpline agent 
No Complaint will be locked in this scenario by helpline agent 
No Complaint will be locked in this scenario by helpline agent 
No Complaint will be locked in this scenario by helpline agent ","In addition, we need to confirm transaction details if transaction ID is provided by retailer. Verifications for transaction confirmation includes Same CLI, Retailer Name /Organization Name as per CPS. 
In addition, we need to confirm transaction details if transaction ID is provided by retailer. Verifications for transaction confirmation includes Same CLI, Retailer Name /Organization Name as per CPS. 
In addition, we need to confirm transaction details if transaction ID is provided by retailer. Verifications for transaction confirmation includes Same CLI, Retailer Name /Organization Name as per CPS. 
In addition, we need to confirm transaction details if transaction ID is provided by retailer. Verifications for transaction confirmation includes Same CLI, Retailer Name /Organization Name as per CPS. 
In addition, we need to confirm transaction details if transaction ID is provided by retailer. Verifications for transaction confirmation includes Same CLI, Retailer Name /Organization Name as per CPS. 
 ",,"It is mandatory to mention complaint scenario related details in notes of complaint so backend team can handle complaint as per shared process guidelines 
It is mandatory to mention complaint scenario related details in notes of complaint so backend team can handle complaint as per shared process guidelines 
It is mandatory to mention complaint scenario related details in notes of complaint so backend team can handle complaint as per shared process guidelines 
It is mandatory to mention complaint scenario related details in notes of complaint so backend team can handle complaint as per shared process guidelines 
PTCL & KESC TAT is 4 working days. For other companies, its 1 working day 
PTCL & KESC TAT is 4 working days. For other companies, its 1 working day 
PTCL & KESC TAT is 4 working days. For other companies, its 1 working day 
PTCL & KESC TAT is 4 working days. For other companies, its 1 working day 
PTCL & KESC TAT is 4 working days. For other companies, its 1 working day
PTCL & KESC TAT is 4 working days. For other companies, its 1 working day
For issue related to E-Sahulat Portal down Email will being sent to Helpdesk who need to coordinate with OPS.POC for issue related time lines 
For issue related to E-Sahulat Portal down Email will being sent to Helpdesk who need to coordinate with OPS.POC for issue related time lines 
For issue related to E-Sahulat Portal down Email will being sent to Helpdesk who need to coordinate with OPS.POC for issue related time lines 
For issue related to E-Sahulat Portal down Email will being sent to Helpdesk who need to coordinate with OPS.POC for issue related time lines 
We should not provide Transaction ID to retailer in call. In addition, case for any request need to be processed in Super Office after required verifications
We should not provide Transaction ID to retailer in call. In addition, case for any request need to be processed in Super Office after required verifications
We should not provide Transaction ID to retailer in call. In addition, case for any request need to be processed in Super Office after required verifications
We should not provide Transaction ID to retailer in call. In addition, case for any request need to be processed in Super Office after required verifications
We need to provide self – service solution to retailer for any scenario where available along with required resolution
We need to provide self – service solution to retailer for any scenario where available along with required resolution
We need to provide self – service solution to retailer for any scenario where available along with required resolution
We need to provide self – service solution to retailer for any scenario where available along with required resolution","Helpline agent team while forwarding complaint need to check CPS that bill was paid or not. Bill reference number can be checked from CPS as well while checking TID from CPS. Complaint will be forwarded by mentioning complete checklist along with above system consultation 
Helpline agent team while forwarding complaint need to check CPS that bill was paid or not. Bill reference number can be checked from CPS as well while checking TID from CPS. Complaint will be forwarded by mentioning complete checklist along with above system consultation 
Helpline agent team while forwarding complaint need to check CPS that bill was paid or not. Bill reference number can be checked from CPS as well while checking TID from CPS. Complaint will be forwarded by mentioning complete checklist along with above system consultation 
Helpline agent team while forwarding complaint need to check CPS that bill was paid or not. Bill reference number can be checked from CPS as well while checking TID from CPS. Complaint will be forwarded by mentioning complete checklist along with above system consultation 
Helpline agent team while forwarding complaint need to check CPS that bill was paid or not. Bill reference number can be checked from CPS as well while checking TID from CPS. Complaint will be forwarded by mentioning complete checklist along with above system consultation 
DFS Tab→Utility Bill Payment through OTC→Bill was paid successfully last month but the new bill is received with arrears 
 
 
 
 ","Helpline agent after consulting system need to guide customer to wait for next month bill as it will be adjusted in next month bill. We also need to educate customer to always match bill fetched amount and hardcopy amount. If next month bill received without adjustment, then complaint need to be forwarded along with mentioning “ 
Helpline agent after consulting system need to guide customer to wait for next month bill as it will be adjusted in next month bill. We also need to educate customer to always match bill fetched amount and hardcopy amount. If next month bill received without adjustment, then complaint need to be forwarded along with mentioning “ 
Helpline agent after consulting system need to guide customer to wait for next month bill as it will be adjusted in next month bill. We also need to educate customer to always match bill fetched amount and hardcopy amount. If next month bill received without adjustment, then complaint need to be forwarded along with mentioning “ 
Helpline agent after consulting system need to guide customer to wait for next month bill as it will be adjusted in next month bill. We also need to educate customer to always match bill fetched amount and hardcopy amount. If next month bill received without adjustment, then complaint need to be forwarded along with mentioning “ 
Helpline agent after consulting system need to guide customer to wait for next month bill as it will be adjusted in next month bill. We also need to educate customer to always match bill fetched amount and hardcopy amount. If next month bill received without adjustment, then complaint need to be forwarded along with mentioning “ 
Helpline agent after consulting system need to guide customer to wait for next month bill as it will be adjusted in next month bill. We also need to educate customer to always match bill fetched amount and hardcopy amount. If next month bill received without adjustment, then complaint need to be forwarded along with mentioning “ 
Helpline agent after consulting system need to guide customer to wait for next month bill as it will be adjusted in next month bill. We also need to educate customer to always match bill fetched amount and hardcopy amount. If next month bill received without adjustment, then complaint need to be forwarded along with mentioning “ 
Bill Paid Within Due Date but Amount Deducted more than billed amount” in notes of Case
Bill Paid Within Due Date but Amount Deducted 
Bill Paid Within Due Date but Amount Deducted 
Bill Paid Within Due Date but Amount Deducted 
Bill Paid Within Due Date but Amount Deducted 
Bill Paid Within Due Date but Amount Deducted 
Bill Paid Within Due Date but Amount Deducted 
more than billed amount
more than billed amount
more than billed amount
more than billed amount
” in notes of Case
” in notes of Case
” in notes of Case
” in notes of Case
DFS Tab→Utility Bill Payment through OTC→Wrong Bill Data
DFS Tab→Utility Bill Payment through OTC→Wrong Bill Data
DFS Tab→Utility Bill Payment through OTC→Wrong Bill Data
DFS Tab→Utility Bill Payment through OTC→Wrong Bill Data
DFS Tab→Utility Bill Payment through OTC→Wrong Bill Data
 
 ","We will generate complaint as per current process with required checklist 
We will generate complaint as per current process with required checklist 
We will generate complaint as per current process with required checklist 
We will generate complaint as per current process with required checklist 
We will generate complaint as per current process with required checklist 
DFS Tab→Utility Bill Payment through OTC→Wrong Bill Data
DFS Tab→Utility Bill Payment through OTC→Wrong Bill Data
DFS Tab→Utility Bill Payment through OTC→Wrong Bill Data
DFS Tab→Utility Bill Payment through OTC→Wrong Bill Data
DFS Tab→Utility Bill Payment through OTC→Wrong Bill Data
 ","We will generate complaint as per current process with required checklist 
We will generate complaint as per current process with required checklist 
We will generate complaint as per current process with required checklist 
We will generate complaint as per current process with required checklist 
We will generate complaint as per current process with required checklist 
DFS Tab→Utility Bill Payment through OTC→Bill was paid successfully last month but the new bill is received with arrears 
 
 
 
 ","Guide customer to wait for next month bill as it will be adjusted in next month bill. Also need to educate customer to always match bill fetched amount and hardcopy amount. If next month bill received without adjustment, then complaint will be processed 
Guide customer to wait for next month bill as it will be adjusted in next month bill. Also need to educate customer to always match bill fetched amount and hardcopy amount. If next month bill received without adjustment, then complaint will be processed 
Guide customer to wait for next month bill as it will be adjusted in next month bill. Also need to educate customer to always match bill fetched amount and hardcopy amount. If next month bill received without adjustment, then complaint will be processed 
Guide customer to wait for next month bill as it will be adjusted in next month bill. Also need to educate customer to always match bill fetched amount and hardcopy amount. If next month bill received without adjustment, then complaint will be processed 
Guide customer to wait for next month bill as it will be adjusted in next month bill. Also need to educate customer to always match bill fetched amount and hardcopy amount. If next month bill received without adjustment, then complaint will be processed 
DFS Tab→Utility Bill Payment through OTC→Bill was paid successfully last month but the new bill is received with arrears 
 
 
 
 ",
9104,Reserve Balance Amount in CPS-DBSS,"DR reserve balance will be auto adjust within 10 to 15 min. We need to select relevant Sub header for complaint generation.
DR reserve 
DR reserve 
DR reserve 
DR reserve 
balance will be auto adjust within 10 to 15 min. We need to select relevant Sub header for complaint generation.
balance will be auto adjust within 10 to 15 min. We need to select relevant Sub header for complaint generation.
balance will be auto adjust within 10 to 15 min. We need to select relevant Sub header for complaint generation.
balance will be auto adjust within 10 to 15 min. We need to select relevant Sub header for complaint generation.
We need to guide retailer that Amount in reserve balance against the transaction will either be reversed back or will be completed. In case amount still not reversed back, below complaint can be generated 
We need to guide retailer that Amount in reserve balance against the transaction will either be reversed back or will be completed. In case amount still not reversed back, below complaint can be generated 
We need to guide retailer that Amount in reserve balance against the transaction will either be reversed back or will be completed. In case amount still not reversed back, below complaint can be generated 
We need to guide retailer that Amount in reserve balance against the transaction will either be reversed back or will be completed. In case amount still not reversed back, below complaint can be generated 
We need to guide retailer that Amount in reserve balance against the transaction will either be reversed back or will be completed. In case amount still not reversed back, below complaint can be generated ",,,"We need to verify retailer account/transaction related details before processing above request 
We need to verify retailer account/transaction related details before processing above request 
We need to verify retailer account/transaction related details before processing above request 
We need to verify retailer account/transaction related details before processing above request ","DFS Tab→Reserve Balance→IBFT, C2C
DFS Tab→Reserve Balance→IBFT, C2C
DFS Tab→Reserve Balance→IBFT, C2C
DFS Tab→Reserve Balance→IBFT, C2C
DFS Tab→Reserve Balance→IBFT, C2C
Checklist:
Checklist:
Checklist:
Checklist:
Checklist:
Customer Name: 
Customer Name: 
Customer Name: 
Customer Name: 
Transaction ID: 
Transaction ID: 
Transaction ID: 
Transaction ID: 
Actual Amount: 
Actual Amount: 
Actual Amount: 
Actual Amount: 
Customer CNIC: 
Customer CNIC: 
Customer CNIC: 
Customer CNIC: 
Complaint Number: 
Complaint Number: 
Complaint Number: 
Complaint Number: 
Beneficiary MSISDN: 
Beneficiary MSISDN: 
Beneficiary MSISDN: 
Beneficiary MSISDN: 
Receiving Mobile Account Number:  
Receiving Mobile Account Number:  
Receiving Mobile Account Number:  
Receiving Mobile Account Number:  
Consumer Reference Number:  
Consumer Reference Number:  
Consumer Reference Number:  
Consumer Reference Number:  
Receiver Bank Account Number: 
Receiver Bank Account Number: 
Receiver Bank Account Number: 
Receiver Bank Account Number: 
DO: 
DO: 
DO: 
DO: ","DFS Tab→Reserve Balance→UBP, LOAD 
DFS Tab→Reserve Balance→UBP, LOAD
DFS Tab→Reserve Balance→UBP, LOAD
DFS Tab→Reserve Balance→UBP, LOAD
DFS Tab→Reserve Balance→UBP, LOAD
 
 
 
 
Checklist: 
Checklist:
Checklist:
Checklist:
Checklist:
 
 
 
 
Transaction ID: 
Transaction ID: 
Transaction ID: 
Transaction ID: 
Actual Amount: 
Actual Amount: 
Actual Amount: 
Actual Amount: 
Complainant Number: 
Complainant Number: 
Complainant Number: 
Complainant Number: 
Beneficiary MSISDN:  
Beneficiary MSISDN:  
Beneficiary MSISDN:  
Beneficiary MSISDN:  
Consumer Reference Number: 
Consumer Reference Number: 
Consumer Reference Number: 
Consumer Reference Number: 
Receiver Bank Account Number: 
Receiver Bank Account Number: 
Receiver Bank Account Number: 
Receiver Bank Account Number: ",,,,
9106,Debit Request- Retailer Debit Request-DBSS,"Retailers will be able to withdraw amount (minimum PRs. 5,000) from this jazz cash account, by simply calling over 1344 helpline. This facility is only for weekdays (Mon-Fri).  
Retailers will be able to withdraw amount (minimum PRs. 5,000) from this jazz cash account, by simply calling over 1344 helpline. This facility is only for weekdays (Mon-Fri).  
Retailers will be able to withdraw amount (minimum PRs. 5,000) from this jazz cash account, by simply calling over 1344 helpline. This facility is only for weekdays (Mon-Fri).  
Retailers will be able to withdraw amount (minimum PRs. 5,000) from this jazz cash account, by simply calling over 1344 helpline. This facility is only for weekdays (Mon-Fri).  
Retailers will be able to withdraw amount (minimum PRs. 5,000) from this jazz cash account, by simply calling over 1344 helpline. This facility is only for weekdays (Mon-Fri).  
Waseela Team will call retailer- take verification between 12:30 to 3:00 pm   
Waseela Team will call retailer- take verification between 12:30 to 3:00 pm   
Waseela Team will call retailer- take verification between 12:30 to 3:00 pm   
Waseela Team will call retailer- take verification between 12:30 to 3:00 pm   
Waseela Team will call retailer- take verification between 12:30 to 3:00 pm   
Waseela Team will call retailer- take verification between 12:30 to 3:00 pm  
After verify sent retailer code and ask him to collect amount before 05:00pm  
After verify sent retailer code and ask him to collect amount before 05:00pm  
After verify sent retailer code and ask him to collect amount before 05:00pm  
After verify sent retailer code and ask him to collect amount before 05:00pm  
After verify sent retailer code and ask him to collect amount before 05:00pm  
After verify sent retailer code and ask him to collect amount before 05:00pm ","Retailer MSISDN   
Retailer MSISDN   
Retailer MSISDN   
Retailer MSISDN   
Retailer Name   
Retailer Name   
Retailer Name   
Retailer Name   
Retailer CNIC  
Retailer CNIC  
Retailer CNIC  
Retailer CNIC  ",,"Cutoff time to register the request is 12:00 pm.  
Cutoff time to register the request is 12:00 pm.  
Cutoff time to register the request is 12:00 pm.  
Cutoff time to register the request is 12:00 pm.  ",,,,,,
9108,Debit Request- Master Line Debit Request-DBSS,"We will forward franchisee debit request instructions in E-front, under the head of ‘Agent Cash Management’ and mention following details in case notes after taking proper verifications
We will forward franchisee debit request instructions in E-front, under the head of ‘Agent Cash Management’ and mention following details in case notes after taking proper verifications
We will forward franchisee debit request instructions in E-front, under the head of ‘Agent Cash Management’ and mention following details in case notes after taking proper verifications
We will forward franchisee debit request instructions in E-front, under the head of ‘Agent Cash Management’ and mention following details in case notes after taking proper verifications
We will forward franchisee debit request instructions in E-front, under the head of ‘Agent Cash Management’ and mention following details in case notes after taking proper verifications","Franchise ID: 
Franchise ID: 
Franchise ID: 
Franchise ID: 
Franchise Name: We will only mention franchise name. Please do not mention complete address of franchise 
Franchise Name: We will only mention franchise name. Please do not mention complete address of franchise 
Franchise Name: We will only mention franchise name. Please do not mention complete address of franchise 
Franchise Name: We will only mention franchise name. Please do not mention complete address of franchise 
Debit Request Amount: we will mention exact amount by putting Commas (,) in digits/figures and also mention exact amount in words as well. For Example, If Franchise requests us to debit 100000 Rs. in his account then will mention exact amount with putting commas in below format: 
Debit Request Amount: we will mention exact amount by putting Commas (,) in digits/figures and also mention exact amount in words as well. For Example, If Franchise requests us to debit 100000 Rs. in his account then will mention exact amount with putting commas in below format: 
Debit Request Amount: we will mention exact amount by putting Commas (,) in digits/figures and also mention exact amount in words as well. For Example, If Franchise requests us to debit 100000 Rs. in his account then will mention exact amount with putting commas in below format: 
Debit Request Amount: we will mention exact amount by putting Commas (,) in digits/figures and also mention exact amount in words as well. For Example, If Franchise requests us to debit 100000 Rs. in his account then will mention exact amount with putting commas in below format: 
Amount: 1,00,000 (1 Lac Rs. Only)
Amount: 1,00,000 (1 Lac Rs. Only)
Amount: 1,00,000 (1 Lac Rs. Only)
Amount: 1,00,000 (1 Lac Rs. Only)",,"We need to take proper mandatory verifications as per already communicated guidelines before forwarding Franchise Debit Request 
We need to take proper mandatory verifications as per already communicated guidelines before forwarding Franchise Debit Request 
We need to take proper mandatory verifications as per already communicated guidelines before forwarding Franchise Debit Request 
We need to take proper mandatory verifications as per already communicated guidelines before forwarding Franchise Debit Request 
We need to generate request against correct Franchise number as per list updated at Mobics 
We need to generate request against correct Franchise number as per list updated at Mobics 
We need to generate request against correct Franchise number as per list updated at Mobics 
We need to generate request against correct Franchise number as per list updated at Mobics 
We will confirm and reassure amount and other details from Franchisee to mention exact details in Franchise Debit Request 
We will confirm and reassure amount and other details from Franchisee to mention exact details in Franchise Debit Request 
We will confirm and reassure amount and other details from Franchisee to mention exact details in Franchise Debit Request 
We will confirm and reassure amount and other details from Franchisee to mention exact details in Franchise Debit Request 
During Ramadan cutoff time for Franchise Debit Request is 10:30 AM (Monday – Thursday) and till 10:00 AM on Friday 
During Ramadan cutoff time for Franchise Debit Request is 10:30 AM (Monday – Thursday) and till 10:00 AM on Friday 
During Ramadan cutoff time for Franchise Debit Request is 10:30 AM (Monday – Thursday) and till 10:00 AM on Friday 
During Ramadan cutoff time for Franchise Debit Request is 10:30 AM (Monday – Thursday) and till 10:00 AM on Friday 
In case next day is Saturday, Sunday or Public holiday, we will guide him to call on next working day 
In case next day is Saturday, Sunday or Public holiday, we will guide him to call on next working day 
In case next day is Saturday, Sunday or Public holiday, we will guide him to call on next working day 
In case next day is Saturday, Sunday or Public holiday, we will guide him to call on next working day ",,,,,,
